command: cd telperion/examples/li_positivity/lean && leanlock.sh lake env lean Crux/Crux2_rigidity_rate.lean  (Lean v4.34.0-rc1, Mathlib de5ce8a9; exit 0, no errors, no warnings)
sha256: 98edde222b36ad9d9f51d55b3a666e4efef2747655d9e461d99afb62b33035f2
#print axioms lines: 80

'Crux2RigidityRate.triAnti_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.one_add_two_t_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_div_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_eventually_differentiableAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_differentiableAt_of_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_residue' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_residue_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_simple_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_real_double_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fakeCoeff_mul_of_coprime' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.mty_placement' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.two_le_max_rpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.finite_data_no_zero_free_region' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.mty_fake' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.norm_riemannZeta_real_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.norm_prod_primesBelow_real_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.poleShadow_real_exp_large' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.expulsion_of_transfer_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux2RigidityRate.fake_window_tests_blind' depends on axioms: [propext, Classical.choice, Quot.sound]
